FID_Orig,longitude,latitude,education,income,povertylevel,pct_white,pct_black,pct_americanindianandalaskanativ,pct_asian,pct_nativehawaiianandotherpacifi,pct_someotherrace,pct_twoormoreraces,sale_year,parcel_distance,secchi,distance_shoreline,distance_nyc,distance_golf,distance_park,wateraccess,bayfront,waterhouse,parcel_area,parcel_length,fullbathrooms,totalbathrooms,totalbathroomsedited,totallivingarea,saleprice,.0025FMV,assessedvalue,valuedifference,soldmorethanonceinyear,soldmorethanonceovertheyears,saleacres,nmbofparcels,wqdistance,shorelinedistance,shorelinedistancedv3_1000,shorelinedistancedv1000_2000,shorelinedistancedv2000_3000,shorelinedistancedv3000_4000,wq_shorelinedistancecv,lnsecchi,lnsalesprice,lnsaleprice,wqshorelinedistancedv3_1000,wqshorelinedistancedv1000_2000,wqshorelinedistancedv2000_3000,wqshorelinedistancedv3000_4000,wqwateraccess,wqbayfront,wqwaterhouse,dv_2002,dv_2003,dv_2004,dv_2005,dv_2006,dv_2007,dv_2008,dv_2009,dv_2010,dv_2011,dv_2012,dv_2013,dv_2014,dv_2015
186880,-73.64815,40.66815,80.0965,142989,0,94.6636,2.32019,0,0,0,3.01624,0,2014,2636.78,1.416667,1364.476,6674.802,1426.568,103.3774,0,0,0,12623.93,487.7436,2,2,2,2139,845000,1580,632000,213000,0,0,0.29,1,1933.007,2,0,1,0,0,2.833333,0.3483067,13.64709,13.64709,0,1.416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
115453,-73.65799,40.67532,26.0536,104950,13.37047,5.84958,87.1866,0,6.96379,0,0,0,2014,3357.625,1.416667,2126.555,5749.689,2201.267,485.5825,0,0,0,6109.368,324.2176,3,4,3.5,2953,275000,614,245600,29400,0,0,0.14,1,3012.62,3,0,0,1,0,4.25,0.3483067,12.52453,12.52453,0,0,1.416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
185281,-73.65811,40.67468,26.0536,104950,13.37047,5.84958,87.1866,0,6.96379,0,0,0,2015,3286.859,1,2058.906,5746.759,2202.116,504.4368,0,0,0,5986.923,320.2976,2,2,2,2460,435000,917,366800,68200,0,0,0.14,1,2058.906,3,0,0,1,0,3,0,12.9831,12.9831,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
185281,-73.65811,40.67468,26.0536,104950,13.37047,5.84958,87.1866,0,6.96379,0,0,0,2015,3286.859,1,2058.906,5746.759,2202.116,504.4368,0,0,0,5986.923,320.2976,2,2,2,2460,435000,917,366800,68200,0,0,0.14,1,2058.906,3,0,0,1,0,3,0,12.9831,12.9831,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41789,-73.67919,40.68072,55.0681,140833,0,100,0,0,0,0,0,0,2013,4310.341,1.083333,3451.44,3931.383,3479.611,851.8583,0,0,0,4578.605,293.2678,2,2,2,2230,382000,740,296000,86000,0,0,0.1,1,3739.06,4,0,0,0,1,4.333333,0.0800427,12.85318,12.85318,0,0,0,1.083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
111760,-73.67865,40.68175,55.0681,140833,0,100,0,0,0,0,0,0,2013,4398.706,1.083333,3514.448,3979.954,3392.443,887.6732,0,0,0,6717.879,342.029,1,1,1,1370,382500,921,368400,14100,0,0,0.16,1,3807.319,4,0,0,0,1,4.333333,0.0800427,12.85448,12.85448,0,0,0,1.083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36677,-73.67812,40.68182,55.0681,140833,0,100,0,0,0,0,0,0,2014,4388.574,1.416667,3493.491,4024.954,3348.404,932.3315,0,0,0,6192.415,326.3874,2,2,2,2184,200000,737,294800,-94800,0,1,0.14,1,4949.112,4,0,0,0,1,5.666667,0.3483067,12.20607,12.20607,0,0,0,1.416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
140613,-73.67799,40.68215,55.0681,140833,0,100,0,0,0,0,0,0,2015,4418.671,1,3516.542,4038.147,3323.599,944.3914,0,0,0,5773.507,319.1028,2,3,2.5,2272,415000,944,377600,37400,0,0,0.13,1,3516.542,4,0,0,0,1,4,0,12.93603,12.93603,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
140613,-73.67799,40.68215,55.0681,140833,0,100,0,0,0,0,0,0,2015,4418.671,1,3516.542,4038.147,3323.599,944.3914,0,0,0,5773.507,319.1028,2,3,2.5,2272,415000,944,377600,37400,0,0,0.13,1,3516.542,4,0,0,0,1,4,0,12.93603,12.93603,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
129656,-73.67426,40.68103,59.4633,74286,4.261364,95.7386,0,0,4.26136,0,0,0,2013,4195.145,1.083333,3236.313,4349.157,3087.417,1262.882,0,0,0,5642.77,317.7064,2,2,2,1292,400000,1027,410800,-10800,0,0,0.13,1,3506.005,4,0,0,0,1,4.333333,0.0800427,12.89922,12.89922,0,0,0,1.083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13677,-73.67602,40.68083,55.0681,140833,0,100,0,0,0,0,0,0,2014,4222.769,1.416667,3300.684,4199.847,3230.846,1116.469,0,0,0,5565.871,315.1013,2,2,2,1859,415000,915,366000,49000,0,0,0.13,1,4675.969,4,0,0,0,1,5.666667,0.3483067,12.93603,12.93603,0,0,0,1.416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
70415,-73.67531,40.68061,55.0681,140833,0,100,0,0,0,0,0,0,2012,4179.424,1.714286,3246.508,4259.047,3188.348,1178.364,0,0,0,5280.33,309.0687,2,2,2,1388,375000,713,285200,89800,0,0,0.13,1,5565.442,4,0,0,0,1,6.857143,0.5389965,12.83468,12.83468,0,0,0,1.714286,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
132524,-73.67748,40.68058,55.0681,140833,0,100,0,0,0,0,0,0,2013,4241.16,1.083333,3351.121,4075.572,3354.584,996.849,0,0,0,4058.611,281.2761,2,2,2,1316,422300,744,297600,124700,0,0,0.09,1,3630.381,4,0,0,0,1,4.333333,0.0800427,12.95347,12.95347,0,0,0,1.083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
117186,-73.67483,40.67973,55.0681,140833,0,100,0,0,0,0,0,0,2014,4073.945,1.416667,3143.083,4300.014,3197.284,1233.874,0,0,0,5045.53,301.0463,2,3,2.5,1410,364500,909,363600,900,0,0,0.12,1,4452.701,4,0,0,0,1,5.666667,0.3483067,12.80628,12.80628,0,0,0,1.416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
76952,-73.67496,40.67947,55.0681,140833,0,100,0,0,0,0,0,0,2012,4051.023,1.714286,3126.463,4288.851,3221.123,1228.295,0,0,0,5073.381,302.7854,1,1,1,1295,420000,868,347200,72800,0,0,0.12,1,5359.651,4,0,0,0,1,6.857143,0.5389965,12.94801,12.94801,0,0,0,1.714286,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
183150,-73.67736,40.67983,55.0681,140833,0,100,0,0,0,0,0,0,2013,4159.476,1.083333,3278.142,4086.024,3381.932,1022.382,0,0,0,7150.632,343.8409,2,2,2,1610,430000,766,306400,123600,0,0,0.16,1,3551.32,4,0,0,0,1,4.333333,0.0800427,12.97154,12.97154,0,0,0,1.083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74053,-73.67944,40.67909,55.0681,140833,0,100,0,0,0,0,0,0,2013,4153.6,1.083333,3325.828,3912.219,3575.808,877.1235,0,0,0,3980.808,280.0772,1,2,1.5,1524,480000,1189,475600,4400,0,0,0.09,1,3602.98,4,0,0,0,1,4.333333,0.0800427,13.08154,13.08154,0,0,0,1.083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
133552,-73.67698,40.67858,55.0681,140833,0,100,0,0,0,0,0,0,2013,4019.282,1.083333,3149.658,4121.858,3418.115,1091.7,0,0,0,4103.57,284.0507,2,2,2,1313,373000,685,274000,99000,0,0,0.09,1,3412.13,4,0,0,0,1,4.333333,0.0800427,12.82933,12.82933,0,0,0,1.083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
80923,-73.67774,40.67807,55.0681,140833,0,100,0,0,0,0,0,0,2015,3992.388,1,3147.208,4060.296,3502.02,1019.887,0,0,0,4127.982,283.6379,2,2,2,1459,370000,900,360000,10000,0,0,0.09,1,3147.208,4,0,0,0,1,4,0,12.82126,12.82126,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80923,-73.67774,40.67807,55.0681,140833,0,100,0,0,0,0,0,0,2015,3992.388,1,3147.208,4060.296,3502.02,1019.887,0,0,0,4127.982,283.6379,2,2,2,1459,370000,900,360000,10000,0,0,0.09,1,3147.208,4,0,0,0,1,4,0,12.82126,12.82126,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67712,-73.67878,40.67823,31.9465,130625,0,79.7386,5.55556,0,10.1307,0,0,4.57516,2013,4044.365,1.083333,3218.044,3971.647,3570.406,961.029,0,0,0,7256.494,345.9192,2,2,2,1721,351500,846,338400,13100,0,0,0.16,1,3486.215,4,0,0,0,1,4.333333,0.0800427,12.76997,12.76997,0,0,0,1.083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
140724,-73.68233,40.67845,31.9728,119866,4.72441,67.4541,16.0105,0,13.1234,0,3.41207,0,2013,4198.507,1.083333,3439.938,3671.227,3826.46,675.6892,0,0,0,5251.612,306.9252,1,1,1,903,405000,623,249200,155800,0,0,0.12,1,3726.6,4,0,0,0,1,4.333333,0.0800427,12.91164,12.91164,0,0,0,1.083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
129707,-73.67799,40.67611,31.9465,130625,0,79.7386,5.55556,0,10.1307,0,0,4.57516,2015,3802.591,1,2998.932,4058.116,3631.109,870.9714,0,0,0,8785.629,387.5184,2,2,2,1814,375000,695,278000,97000,0,0,0.19,1,2998.932,3,0,0,1,0,3,0,12.83468,12.83468,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
129707,-73.67799,40.67611,31.9465,130625,0,79.7386,5.55556,0,10.1307,0,0,4.57516,2015,3802.591,1,2998.932,4058.116,3631.109,870.9714,0,0,0,8785.629,387.5184,2,2,2,1814,375000,695,278000,97000,0,0,0.19,1,2998.932,3,0,0,1,0,3,0,12.83468,12.83468,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39603,-73.67783,40.67624,31.9465,130625,0,79.7386,5.55556,0,10.1307,0,0,4.57516,2014,3809.046,1.416667,2999.302,4070.538,3611.98,890.1303,0,0,0,6446.114,376.0449,2,2,2,1432,335000,675,270000,65000,0,0,0.15,1,4249.01,3,0,0,1,0,4.25,0.3483067,12.72189,12.72189,0,0,1.416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
182474,-73.68394,40.67849,31.9728,119866,4.72441,67.4541,16.0105,0,13.1234,0,3.41207,0,2015,4268.661,1,3540.92,3534.064,3948.475,547.9411,0,0,0,5556.226,309.2403,2,2,2,1838,500000,962,384800,115200,0,0,0.11,1,3540.92,4,0,0,0,1,4,0,13.12236,13.12236,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
182474,-73.68394,40.67849,31.9728,119866,4.72441,67.4541,16.0105,0,13.1234,0,3.41207,0,2015,4268.661,1,3540.92,3534.064,3948.475,547.9411,0,0,0,5556.226,309.2403,2,2,2,1838,500000,962,384800,115200,0,0,0.11,1,3540.92,4,0,0,0,1,4,0,13.12236,13.12236,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
147041,-73.68194,40.6774,31.9728,119866,4.72441,67.4541,16.0105,0,13.1234,0,3.41207,0,2013,4080.336,1.083333,3334.542,3712.356,3849.273,729.7202,0,0,0,5294.058,308.9502,1,1,1,1245,371300,869,347600,23700,0,0,0.12,1,3612.421,4,0,0,0,1,4.333333,0.0800427,12.82477,12.82477,0,0,0,1.083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
163088,-73.67879,40.67565,31.9465,130625,0,79.7386,5.55556,0,10.1307,0,0,4.57516,2015,3785.247,1,3008.59,3997.35,3715.247,786.8433,0,0,0,5529.165,323.9243,2,2,2,1675,290000,625,250000,40000,0,0,0.13,1,3008.59,4,0,0,0,1,4,0,12.57764,12.57764,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
163088,-73.67879,40.67565,31.9465,130625,0,79.7386,5.55556,0,10.1307,0,0,4.57516,2015,3785.247,1,3008.59,3997.35,3715.247,786.8433,0,0,0,5529.165,323.9243,2,2,2,1675,290000,625,250000,40000,0,0,0.13,1,3008.59,4,0,0,0,1,4,0,12.57764,12.57764,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1046,-73.68179,40.67682,31.9728,119866,4.72441,67.4541,16.0105,0,13.1234,0,3.41207,0,2015,4018.551,1,3281.645,3730.281,3868.725,684.6184,0,0,0,4933.957,300.1687,1,2,1.5,1008,390000,629,251600,138400,0,0,0.12,1,3281.645,4,0,0,0,1,4,0,12.8739,12.8739,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94142,-73.6812,40.67651,31.9465,130625,0,79.7386,5.55556,0,10.1307,0,0,4.57516,2013,3964.2,1.083333,3221.426,3783.964,3841.381,690.3635,0,0,0,9082.441,383.7518,1,1,1,1211,336000,758,303200,32800,0,1,0.22,1,3489.878,4,0,0,0,1,4.333333,0.0800427,12.72487,12.72487,0,0,0,1.083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
